Checked,Protein FDR Confidence: Combined,Accession,Description,# Peptides,# PSMs,# Unique Peptides,Ensembl Gene ID,Gene Symbol,# Razor Peptides,Abundance Ratio: (PBS) / (NaCl),Abundance Ratio (log2): (PBS) / (NaCl),Abundance Ratio P-Value: (PBS) / (NaCl),Abundance Ratio Adj. P-Value: (PBS) / (NaCl),Abundance Ratio Variability [%]: (PBS) / (NaCl),Abundance Ratio Weight: (PBS) / (NaCl),Abundances (Grouped): NaCl,Abundances (Grouped): PBS,Abundances (Grouped) CV [%]: NaCl,Abundances (Grouped) CV [%]: PBS,Abundances (Grouped) Count: NaCl,Abundances (Grouped) Count: PBS,"Abundances (Scaled): F25: Sample, NaCl","Abundances (Scaled): F26: Sample, NaCl","Abundances (Scaled): F27: Sample, NaCl","Abundances (Scaled): F28: Sample, NaCl","Abundances (Scaled): F29: Sample, NaCl","Abundances (Scaled): F30: Sample, NaCl","Abundances (Scaled): F31: Sample, NaCl","Abundances (Scaled): F32: Sample, NaCl","Abundances (Scaled): F17: Sample, PBS","Abundances (Scaled): F18: Sample, PBS","Abundances (Scaled): F19: Sample, PBS","Abundances (Scaled): F20: Sample, PBS","Abundances (Scaled): F21: Sample, PBS","Abundances (Scaled): F22: Sample, PBS","Abundances (Scaled): F23: Sample, PBS","Abundances (Scaled): F24: Sample, PBS","Abundances (Normalized): F25: Sample, NaCl","Abundances (Normalized): F26: Sample, NaCl","Abundances (Normalized): F27: Sample, NaCl","Abundances (Normalized): F28: Sample, NaCl","Abundances (Normalized): F29: Sample, NaCl","Abundances (Normalized): F30: Sample, NaCl","Abundances (Normalized): F31: Sample, NaCl","Abundances (Normalized): F32: Sample, NaCl","Abundances (Normalized): F17: Sample, PBS","Abundances (Normalized): F18: Sample, PBS","Abundances (Normalized): F19: Sample, PBS","Abundances (Normalized): F20: Sample, PBS","Abundances (Normalized): F21: Sample, PBS","Abundances (Normalized): F22: Sample, PBS","Abundances (Normalized): F23: Sample, PBS","Abundances (Normalized): F24: Sample, PBS","Abundance: F25: Sample, NaCl","Abundance: F26: Sample, NaCl","Abundance: F27: Sample, NaCl","Abundance: F28: Sample, NaCl","Abundance: F29: Sample, NaCl","Abundance: F30: Sample, NaCl","Abundance: F31: Sample, NaCl","Abundance: F32: Sample, NaCl","Abundance: F17: Sample, PBS","Abundance: F18: Sample, PBS","Abundance: F19: Sample, PBS","Abundance: F20: Sample, PBS","Abundance: F21: Sample, PBS","Abundance: F22: Sample, PBS","Abundance: F23: Sample, PBS","Abundance: F24: Sample, PBS","Abundances Count: F25: Sample, NaCl","Abundances Count: F26: Sample, NaCl","Abundances Count: F27: Sample, NaCl","Abundances Count: F28: Sample, NaCl","Abundances Count: F29: Sample, NaCl","Abundances Count: F30: Sample, NaCl","Abundances Count: F31: Sample, NaCl","Abundances Count: F32: Sample, NaCl","Abundances Count: F17: Sample, PBS","Abundances Count: F18: Sample, PBS","Abundances Count: F19: Sample, PBS","Abundances Count: F20: Sample, PBS","Abundances Count: F21: Sample, PBS","Abundances Count: F22: Sample, PBS","Abundances Count: F23: Sample, PBS","Abundances Count: F24: Sample, PBS","Found in Sample: [S25] F25: Sample, NaCl","Found in Sample: [S26] F26: Sample, NaCl","Found in Sample: [S27] F27: Sample, NaCl","Found in Sample: [S28] F28: Sample, NaCl","Found in Sample: [S29] F29: Sample, NaCl","Found in Sample: [S30] F30: Sample, NaCl","Found in Sample: [S31] F31: Sample, NaCl","Found in Sample: [S32] F32: Sample, NaCl","Found in Sample: [S17] F17: Sample, PBS","Found in Sample: [S18] F18: Sample, PBS","Found in Sample: [S19] F19: Sample, PBS","Found in Sample: [S20] F20: Sample, PBS","Found in Sample: [S21] F21: Sample, PBS","Found in Sample: [S22] F22: Sample, PBS","Found in Sample: [S23] F23: Sample, PBS","Found in Sample: [S24] F24: Sample, PBS"
FALSE,High,Q9VPT2,Xylulose kinase OS=Drosophila melanogaster OX=7227 GN=Dmel\CG3544 PE=2 SV=1,24,151,24,FBgn0031279,CG3544,0,1.07,0.1,0.994940654,0.998597297,37.08,26.50525813,97.5,102.5,4.07,33.36,8,8,99.4,99.8,89.3,91.7,97.8,99.5,94.4,96.6,106.3,177.6,109.1,109.7,65.4,66.7,98.4,98.3,83740389.36,84030236.91,75251188.87,77222165.84,82398092.26,83766442.43,79481786.14,81364293.25,89535962.99,149549064.5,91920694.32,92371464.58,55111258.55,56163105.92,82897497.1,82828504.79,39908457.55,40211850.9,70396108.5,74077938.39,71622527.49,83766442.43,50829468.84,29120093.55,36617286.43,65697335.23,39736531.22,45399799.25,31089358.81,32654395.13,31838561.24,34290436.04,15,14,13,14,21,21,15,13,18,17,13,13,8,8,13,13,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
FALSE,High,Q9VJG0,Xaa-Pro aminopeptidase ApepP OS=Drosophila melanogaster OX=7227 GN=ApepP PE=1 SV=1,9,26,9,FBgn0026150,ApepP,0,1.026,0.04,0.936669774,0.974255559,37.92,23.46665302,116.4,83.6,18.67,44.13,8,8,113.2,118.7,147.7,140.7,119,74.2,136.3,130.4,66,110.7,95.8,113.4,30.7,24.3,86.7,92.1,11302158.92,11855862.51,14751172.08,14044925.22,11880432.39,7413245.563,13610054.46,13024946.3,6593089.189,11054268.66,9566450.1,11320789.91,3063110.949,2423269.855,8662209.144,9199485.196,5386310.391,5673507.453,13799451.22,13473063,10326775.44,7413245.563,8703778.219,4661598.344,2696358.281,4856172.098,4135494.688,5564073.188,1727961.906,1408939.375,3326907.156,3808524.125,9,9,9,8,9,6,8,9,5,7,4,4,2,1,4,4,High,High,High,High,High,High,High,High,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,High
FALSE,High,M9PJQ5,"Wings up A, isoform K OS=Drosophila melanogaster OX=7227 GN=wupA PE=1 SV=1",6,45,6,FBgn0004028,wupA,0,0.495,-1.01,0.004467576,0.01821765,75.06,24.92043007,137,63,61.34,52.68,8,8,49.9,53.1,261.7,260.8,129,131.9,102.2,96.4,37.2,32.5,115,110.9,73.5,70.7,39.5,35.8,14318644.79,15243591.39,75135523.05,74867403.95,37031705.4,37875720.38,29335506.19,27680950.85,10681901.17,9318125.442,33028446.09,31852253.58,21100105.78,20296521.31,11341906.84,10267984.38,6823887.875,7294672.094,70287905.25,71819054.5,32188904.69,37875720.38,18760376.06,9906948.688,4368548.922,4093479.375,14277915.2,15655115.19,11902990,11800818.63,4356102.516,4250875.5,5,6,6,6,6,6,6,5,5,4,6,5,3,3,4,3,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
FALSE,Low,A0A0B4K6W6,"Wide awake, isoform C OS=Drosophila melanogaster OX=7227 GN=wake PE=4 SV=1",1,1,1,FBgn0266418,CG6954; CG45058; wake,0,100,6.64,1E-17,7.64322E-17,,,,200,,70.68,,5,,,,,,,,,,,68.8,,535.4,81,467.5,447.4,,,,,,,,,,,388999.7757,,3027166.187,457824.487,2643188.908,2529670.299,,,,,,,,,,,168161.2813,,1707684.75,266188.6563,1015173.375,1047266.25,,,,,,,,,,,1,,1,1,1,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,High,Peak Found
FALSE,High,Q9VS00,WD_REPEATS_REGION domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG10064 PE=4 SV=1,43,474,43,FBgn0035724,CG10064,0,1.122,0.17,0.821034723,0.93165421,79.94,29.78999295,95.5,104.5,4.56,31.93,8,8,102.7,103.1,100.8,97.8,109.1,109.4,101.2,96.6,111,110.6,112.2,113.3,44.5,50.1,118.4,119.1,763062078.4,766145027.6,749361691,727115374.9,810969700.1,813287146,752199231.3,717972997.8,824836724.6,821854605.4,834030908.1,842271232.9,330928225.3,372592455.2,879770582.1,884802700.7,363655230.1,366631236,701014132.8,697509677,704915587.8,813287146,481039609.8,256960885.7,337331297.9,361043097.9,360544439.5,413969238.9,186683204.2,216632984.5,337894756,366302283.2,35,36,35,36,42,41,37,32,43,44,37,36,24,24,37,39,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
FALSE,High,A0A0S0X2Z2,WD repeat-containing protein on Y chromosome OS=Drosophila melanogaster OX=7227 GN=WDY PE=4 SV=1,34,244,34,FBgn0267449,WDY,0,1.071,0.1,0.990589817,0.996156768,43.64,27.72521583,103,97,7.42,14.39,8,8,104.5,104.3,97.7,98.2,88.7,90.7,107.4,108.2,89.9,88.6,119.9,120.7,82.9,107.5,94.6,96,200132557.4,199689951.9,187033361.7,187952504.7,169757165.1,173644251.2,205675648.9,207187734.2,172023680.2,169682287.9,229568714,231149305.3,158772721.9,205790687,181187739.9,183855775.2,95377890.32,95559680.25,174966283.2,180299709.5,147557266,173644251.2,131531820,74152013.86,70352070.38,74541918.36,99240594.72,113607942.7,89566855.29,119650975.4,69589036.54,76115036.94,30,29,31,31,30,30,31,28,29,29,22,25,13,13,26,25,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
FALSE,Medium,Q9VCN9,WD repeat-containing protein 55 homolog OS=Drosophila melanogaster OX=7227 GN=wda PE=2 SV=1,1,5,1,FBgn0039067,wda,0,1.077,0.11,0.842341939,0.942406833,31.34,23.47750039,95.2,104.8,15.98,61.88,8,8,127.4,113.3,93.4,90.2,96.1,81.3,123.4,112.4,118.1,105.4,156.3,145.5,2,5.9,118.9,110.6,11798973.29,10488329.79,8650654.719,8351599.088,8894511.274,7528781,11427489.29,10404703.59,10933092.55,9755145.394,14471460.97,13469167.03,182438.8518,545071.9215,11012738.88,10239128.83,5623079,5019088,8092529,8011550,7731336.5,7528781,7308004,3723819.5,4471278,4285463.5,6255889,6619982.5,102917.3906,316916.125,4229678.5,4238929.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Peak Found,Peak Found,High,Peak Found,High,High,Peak Found,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found
FALSE,High,Q7JR49,V-type proton ATPase subunit S1 OS=Drosophila melanogaster OX=7227 GN=VhaAC45 PE=1 SV=1,2,3,2,FBgn0262515,VhaAC45,0,0.498,-1,0.444605757,0.734556376,99.74,20.52321993,171.8,28.2,41.1,71.19,8,4,102.9,115.9,289.1,305.5,164.8,153.7,142.5,218.9,,48.8,20.4,4.1,,,,33.5,1237342.892,1394302.587,3477430.81,3674733.569,1981830.377,1848620.063,1713582.55,2632434.393,,586593.7909,245380.0025,49416.22202,,,,402833.0633,589684.9375,667229.9141,3253072.813,3525110.75,1722657.609,1848620.063,1095854.725,942142.2188,,257692.3438,106075.6797,24287.6582,,,,166770.1406,2,2,2,2,2,2,2,2,,1,1,1,,,,1,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,High,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found
FALSE,High,Q9V3J1,V-type proton ATPase subunit H OS=Drosophila melanogaster OX=7227 GN=VhaSFD PE=2 SV=2,22,193,22,FBgn0027779,VhaSFD,0,1.041,0.06,0.902960924,0.963116104,79.47,26.50616937,108,92,8.18,35.85,8,8,114,110.5,123.8,120.6,100.8,98.1,117.6,117.6,115.4,104,109.1,105.9,38.5,37.4,93.6,93,88282437.73,85589985.03,95889526.03,93394849.8,78008834.52,75958018.16,91068258.15,91085325.95,89360155.88,80544351.36,84459232.87,81975118.23,29840444.92,28959399.21,72448979.32,71980588.04,42073077.82,40958253.16,89702894.8,89592124.94,67807272.5,75958018.16,58239144.03,32599228.81,36545387.06,35383365.8,36511005.15,40290082.31,16833589.43,16837595.59,27825583.95,29799472.5,22,21,22,21,22,23,21,21,21,20,18,21,11,11,16,15,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
FALSE,High,Q9XZH6,V-type proton ATPase subunit G OS=Drosophila melanogaster OX=7227 GN=Vha13 PE=3 SV=1,6,47,6,FBgn0026753,Vha13,0,1.293,0.37,0.426673014,0.721840172,65.43,24.91911101,84.5,115.5,22.05,40.38,8,8,93.2,96.2,87.9,82.2,52,57,98.2,95.7,130.1,125.7,177.5,168.4,55.2,44.3,121.6,114.9,29114630.63,30064791.95,27453291.66,25688721.6,16246860.89,17803043.69,30677022.17,29898471.68,40660415.93,39255594.83,55450807.01,52596963.96,17240713.34,13838876.72,37978264.17,35899261.77,13875263.89,14387213.17,25682051.38,24642763.06,14122186.68,17803043.69,19618290.16,10700594.3,16628782.97,17245096,23970910.36,25850966.16,9725829.844,8046210.07,14586366.68,14862049.52,5,5,6,6,6,5,5,5,5,5,5,5,3,4,5,5,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
FALSE,High,P54611,V-type proton ATPase subunit E OS=Drosophila melanogaster OX=7227 GN=Vha26 PE=2 SV=1,16,200,16,FBgn0015324,Vha26,0,1.359,0.44,0.262562797,0.536411033,83.19,27.83886234,91.7,108.3,16.92,9.69,8,8,87.5,86.8,98.3,99,65.7,65.5,100.4,100.9,101.9,100.7,126.6,128.2,105.8,103.8,115.2,113.7,188796710.2,187335107.3,212134064,213565972.8,141707292.9,141391440.2,216578898.3,217715405.7,219801840,217316110.7,273018359.2,276648908.6,228234930.1,223835355,248432923.5,245178934.5,89975524.97,89647389.81,198447530.3,204870283,123175600.3,141391440.2,138504566.9,77919843.3,89891778.28,95467594.05,118023505.3,135970615.7,128751870.7,130142519.8,95415991.16,101502406.6,18,17,17,17,18,19,18,16,18,18,14,13,12,12,15,14,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
FALSE,High,Q9W4P5,V-type proton ATPase subunit d 1 OS=Drosophila melanogaster OX=7227 GN=VhaAC39-1 PE=2 SV=1,2,5,2,FBgn0028665,VhaAC39-1,0,0.51,-0.97,0.458124593,0.741730267,84.33,21.08761715,156,44,38.12,93.18,8,8,100,107.8,218.1,226.7,109.9,123.7,98.4,121.7,37,18.1,58.9,28.8,166.2,137.3,26.1,21.2,2416953.028,2606895.507,5271937.16,5479870.956,2657521.455,2990224.75,2378701.625,2943223.532,894464.2224,436973.8562,1424814.408,696637.9182,4017748.782,3319059.663,631282.0068,512877.4865,1151855.969,1247504.438,4931800.625,5256749,2309985.563,2990224.75,1521205.625,1053372.938,365806.6719,191963.875,615935.1016,342391.6875,2266492.125,1929770.156,242457.3906,212327.7813,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,Peak Found,Peak Found,High,High,Peak Found,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found
FALSE,High,Q9V7D2,V-type proton ATPase subunit D 1 OS=Drosophila melanogaster OX=7227 GN=Vha36-1 PE=2 SV=1,5,32,5,FBgn0022097,Vha36-1,0,0.693,-0.53,0.601508714,0.844580048,46.98,22.65947265,130.8,69.2,11.51,35.58,8,8,120.3,117.1,137.8,155.8,119.2,127.1,118.6,110.9,55.1,49,106.8,116.6,86.1,72.8,52.2,54.6,6665920.164,6484319.579,7634156.057,8629863.845,6602443.222,7038448.063,6571565.83,6141451.321,3054197.282,2712674.497,5916112.409,6461934.558,4770505.615,4030811.115,2892382.618,3027380.058,3176801.469,3103007.938,7141613.125,8278484.75,5739012.375,7038448.063,4202588,2198011.313,1249067,1191685.729,2557484.875,3175986.578,2691137.25,2343597.219,1110881.563,1253314.695,4,4,4,4,4,4,4,4,3,4,4,4,1,1,2,3,High,High,High,High,High,High,High,High,High,Peak Found,High,High,Peak Found,High,High,High
