#SUBMITTED ID	ANNOTATION_SYMBOL	LOCATION_ARM	NAME	SYMBOL
FBgn0051776	CG31776	2L	-	CG31776
FBgn0028841	CG17330	2L	juvenile hormone acid methyltransferase	jhamt
FBgn0023545	CG4406	X	Phosphatidylinositol glycan anchor biosynthesis class K	PIG-K
FBgn0041626	CG18859	X	Odorant receptor 19a	Or19a
FBgn0026079	CG6133	X	NOP2-Sun domain family, member 2	Nsun2
FBgn0000052	CG9127	2L	Phosphoribosylformylglycinamidine synthase	Pfas
FBgn0028692	CG11888	3R	Regulatory particle non-ATPase 2	Rpn2
FBgn0038166	CG9588	3R	-	CG9588
FBgn0011227	CG8764	2R	oxen	ox
FBgn0003205	CG9375	3R	Ras oncogene at 85D	Ras85D
FBgn0025638	CG16982	X	Regulator of cullins 1a	Roc1a
FBgn0030786	CG4742	X	mitochondrial ribosomal protein L22	mRpL22
FBgn0003274	CG4918	2R	Ribosomal protein LP2	RpLP2
FBgn0003449	CG4528	X	sans fille	snf
FBgn0003495	CG6134	3R	spatzle	spz
FBgn0029161	CG9131	2L	slowmo	slmo
FBgn0003411	CG1641	X	sisterless A	sisA
FBgn0038880	CG10823	3R	SIFamide receptor	SIFaR
FBgn0004841	CG6515	3R	Tachykinin-like receptor at 86C	TkR86C
FBgn0028979	CG12630	2L	tiptop	tio
FBgn0011763	CG4654	2R	DP transcription factor	Dp
FBgn0015527	CG1685	X	penguin	peng
FBgn0031284	CG3876	2L	Post-GPI attachment to proteins 2	PGAP2
FBgn0261394	CG9327	2R	Proteasome alpha3 subunit	Prosalpha3
FBgn0015288	CG7434	X	Ribosomal protein L22	RpL22
FBgn0030433	CG4647	X	mitochondrial ribosomal protein L49	mRpL49
FBgn0051133	CG31133	3R	Seryl-tRNA synthetase-like insect mitochondrial protein	Slimp
FBgn0033631	CG9027	2R	Superoxide dismutase 3	Sod3
FBgn0035379	CG9972	3L	spatzle 5	spz5
FBgn0085447	CG34418	3L	still life	sif
FBgn0003319	CG4316	3R	Stubble	Sb
FBgn0037792	CG6241	3R	TATA box-binding protein-associated factor RNA polymerase I subunit B	TAF1B
FBgn0039298	CG11853	3R	takeout	to
FBgn0037310	CG1158	3R	Tim17b1	Tim17b1
FBgn0036204	CG11611	3L	Tim13	Tim13
FBgn0030522	CG11103	X	-	CG11103
FBgn0044811	CG31691	2L	Turandot F	TotF
FBgn0085410	CG34381	2L	Trissin receptor	TrissinR
FBgn0283471	CG7178	X	wings up A	wupA
FBgn0261573	CG42687	X	CoRest	CoRest
FBgn0014930	CG2846	3R	-	CG2846
FBgn0004913	CG1119	3R	Germ line transcription factor 1	Gnf1
FBgn0024733	CG17521	3L	Ribosomal protein L10	RpL10
FBgn0035335	CG1320	3L	mitochondrial ribosomal protein L23	mRpL23
FBgn0014024	CG3312	X	RNA-binding protein 4F	Rnp4F
FBgn0017545	CG2168	4	Ribosomal protein S3A	RpS3A
FBgn0250820	CG5802	3R	medial glomeruli	meigo
FBgn0037239	CG11739	3R	Sideroflexin 1/3	Sfxn1-3
FBgn0266666	CG13779	2L	Suppressor of exocyst mutations 1	Sem1
FBgn0003326	CG17579	2R	scabrous	sca
FBgn0003410	CG9949	3L	seven in absentia	sina
FBgn0029006	CG4943	2R	SMAD specific E3 ubiquitin protein ligase	Smurf
FBgn0038225	CG8489	3R	scotti	soti
FBgn0011708	CG4214	2L	Syntaxin 5	Syx5
FBgn0004587	CG10851	3R	B52	B52
FBgn0284243	CG9277	2R	beta-Tubulin at 56D	betaTub56D
FBgn0014395	CG14620	X	touch insensitive larva B	tilB
FBgn0015524	CG10036	2R	orthopedia	otp
FBgn0041723	CG33304	2L	rhomboid-5	rho-5
FBgn0029897	CG3203	X	Ribosomal protein L17	RpL17
FBgn0014455	CG11654	X	Adenosylhomocysteinase	Ahcy
FBgn0032236	CG5108	2L	mitochondrial ribosomal protein S7	mRpS7
FBgn0087008	CG12238	X	enhancer of yellow 3	e(y)3
FBgn0037265	CG12001	3R	spartin	spartin
FBgn0003460	CG11121	2R	sine oculis	so
FBgn0010329	CG1543	X	Tyramine beta hydroxylase	Tbh
FBgn0000229	CG5680	2L	basket	bsk
FBgn0036273	CG10426	3L	Inositol polyphosphate 5-phosphatase E	INPP5E
FBgn0283499	CG18402	3R	Insulin-like receptor	InR
FBgn0259680	
FBgn0026207	CG6819	3R	members only	mbo
FBgn0032846	CG10721	2L	Pyridine nucleotide-disulfide oxidoreductase domain 1	Pyroxd1
FBgn0003206	CG1167	3L	Ras oncogene at 64B	Ras64B
FBgn0039302	CG11856	3R	Nucleoporin 358kD	Nup358
FBgn0035150	CG12189	3L	DNA polymerase Rev1	Rev1
FBgn0032518	CG9282	2L	Ribosomal protein L24	RpL24
FBgn0030616	CG9091	X	Ribosomal protein L37a	RpL37a
FBgn0033033	CG11066	2R	scarface	scaf
FBgn0005590	CG31695	2L	screw	scw
FBgn0002909	CG8601	3L	mutagen-sensitive 312	mus312
FBgn0261245	CG13011	X	singles bar	sing
FBgn0004892	CG3242	2L	sister of odd and bowl	sob
FBgn0040273	CG7626	2R	Spt5	Spt5
FBgn0003889	CG9359	3R	beta-Tubulin at 85D	betaTub85D
FBgn0004103	CG5650	3R	Protein phosphatase 1 at 87B	Pp1-87B
FBgn0034918	CG30176	2R	Partner of Y14 and Mago	Pym
FBgn0040291	CG16988	3L	Regulator of cullins 1b	Roc1b
FBgn0261791	CG9742	X	Small nuclear ribonucleoprotein G	SNRPG
FBgn0011305	CG5655	2L	Repressor splicing factor 1	Rsf1
FBgn0030572	CG14413	X	mitochondrial ribosomal protein S25	mRpS25
FBgn0035035	CG3570	2R	S-adenosylmethionine sensor upstream of TORC1	Samtor
FBgn0035162	CG13900	3L	Splicing factor 3b subunit 3	Sf3b3
FBgn0003334	CG9495	3R	Sex comb on midleg	Scm
FBgn0261270	CG8553	2R	Selenophosphate synthetase 1	Sps1
FBgn0001965	CG7793	2L	Son of sevenless	Sos
FBgn0033556	CG12343	2R	-	CG12343
FBgn0015019	CG8977	3R	Chaperonin containing TCP1 subunit 3	CCT3
FBgn0011837	CG4070	X	Tis11 zinc finger protein	Tis11
FBgn0032749	CG10493	2L	PH domain leucine-rich repeat protein phosphatase	Phlpp
FBgn0038951	CG5380	3R	RNA polymerase III subunit F	Polr3F
FBgn0283473	CG7001	X	S6 Kinase Like	S6KL
FBgn0262579	CG43119	3L	Sterile alpha and Armadillo motif	Sarm
FBgn0035534	CG15016	3L	mitochondrial ribosomal protein S6	mRpS6
FBgn0024491	CG6046	3R	Bicoid interacting protein 1	Bin1
FBgn0014879	CG4299	3R	Set	Set
FBgn0027091	CG8431	2R	Cysteinyl-tRNA synthetase	CysRS
FBgn0029117	CG9943	3L	Surfeit 1	Surf1
FBgn0035947	CG5064	3L	Signal recognition particle 68	Srp68
FBgn0035827	CG8268	3L	Signal recognition particle 9	Srp9
FBgn0020407	CG6814	3R	asunder	asun
FBgn0033754	CG8816	2R	Adenylate kinase 6	Ak6
FBgn0034964	CG3173	2R	Integrator 1	IntS1
FBgn0037374	CG10978	3R	jagunal	jagn
FBgn0267002	CG8566	2R	uncoordinated-104	unc-104
FBgn0002564	CG6821	3L	Larval serum protein 1 gamma	Lsp1gamma
FBgn0022942	CG7035	X	cap binding protein 80	Cbp80
FBgn0033555	CG12324	2R	Ribosomal protein S15Ab	RpS15Ab
FBgn0028683	CG12372	2R	spt4	spt4
FBgn0086676	CG8428	2R	spinster	spin
FBgn0040271	CG6725	3R	Sulfated	Sulf1
FBgn0003660	CG12210	2R	Synaptobrevin	Syb
FBgn0013756	CG8274	2R	Megator	Mtor
FBgn0001978	CG3647	2L	shuttle craft	stc
FBgn0028978	CG5408	3L	tribbles	trbl
FBgn0021796	CG5092	2L	Target of rapamycin	Tor
FBgn0036080	CG14157	3L	Odorant receptor 67d	Or67d
FBgn0027864	CG1795	X	8-oxoguanine DNA glycosylase	Ogg1
FBgn0011818	CG9884	2L	out at first	oaf
FBgn0037110	CG14577	3L	Orosomucoid 1-like	ORMDL
FBgn0043575	CG14745	2R	Peptidoglycan recognition protein SC2	PGRP-SC2
FBgn0035753	CG8615	3L	Ribosomal protein L18	RpL18
FBgn0011284	CG11276	3L	Ribosomal protein S4	RpS4
FBgn0261648	CG6464	2L	spalt major	salm
FBgn0000426	CG16792	2R	Small ribonucleoprotein particle protein SmF	SmF
FBgn0039731	CG15524	3R	Spindle assembly abnormal 6	Sas-6
FBgn0041094	CG7590	3L	scylla	scyl
FBgn0040534	CG11985	3R	Splicing factor 3b subunit 5	Sf3b5
FBgn0263260	CG12918	2R	seele	sel
FBgn0004197	CG6127	3R	Serrate	Ser
FBgn0086362	CG12114	3R	spn-F	spn-F
FBgn0031959	CG7104	2L	spatzle 3	spz3
FBgn0038045	CG5232	3R	N-acetylneuraminic acid synthase	NANS
FBgn0030306	CG1751	X	Spase 25-subunit	Spase25
FBgn0014391	CG9032	X	stunted	sun
FBgn0003511	CG7938	3R	Serendipity beta	Sry-beta
FBgn0033055	CG7861	2R	Tubulin-specific chaperone E	Tbce
FBgn0037685	CG16755	3R	Odorant receptor 85f	Or85f
FBgn0031822	CG9548	2L	PHD finger protein 5a	Phf5a
FBgn0266580	CG7897	2R	Glycoprotein 210 kDa	Gp210
FBgn0031359	CG18317	2L	Replication in mitochondria 2	Rim2
FBgn0024245	CG17559	2L	doughnut on 2	dnt
FBgn0011286	CG10844	2R	Ryanodine receptor	RyR
FBgn0002638	CG10480	3L	Regulator of chromosome condensation 1	Rcc1
FBgn0014026	CG3314	X	Ribosomal protein L7A	RpL7A
FBgn0031651	CG8849	2L	mitochondrial ribosomal protein L24	mRpL24
FBgn0261597	CG10305	2L	Ribosomal protein S26	RpS26
FBgn0043576	CG14746	2R	Peptidoglycan recognition protein SC1a	PGRP-SC1a
FBgn0004666	CG7771	3R	single-minded	sim
FBgn0028982	CG12225	X	Spt6	Spt6
FBgn0003557	CG4244	2L	Suppressor of deltex	Su(dx)
FBgn0010355	CG17603	3R	TBP-associated factor 1	Taf1
FBgn0037734	CG9448	3R	trabid	trbd
FBgn0028919	CG16865	2L	-	CG16865
FBgn0004838	CG10377	2L	Heterogeneous nuclear ribonucleoprotein at 27C	Hrb27C
FBgn0014011	CG8556	3L	Rac2	Rac2
FBgn0040074	CG13057	3L	retinin	retinin
FBgn0037671	CG8444	3R	ATPase H+ transporting accessory protein 2	ATP6AP2
FBgn0003277	CG1554	X	RNA polymerase II subunit A	Polr2A
FBgn0035028	CG3522	2R	Start1	Start1
FBgn0003567	CG8573	3R	suppressor of Hairy wing	su(Hw)
FBgn0039175	CG5706	3R	Phenylalanyl-tRNA synthetase, beta-subunit	beta-PheRS
FBgn0035110	CG17143	3L	thoc7	thoc7
FBgn0024191	CG7238	2L	septin interacting protein 1	sip1
FBgn0026080	CG6121	X	Tat interactive protein 60kDa	Tip60
FBgn0024361	CG11415	X	Tetraspanin 2A	Tsp2A
FBgn0029521	CG17885	X	Odorant receptor 1a	Or1a
FBgn0261987	CG7660	3R	Peroxinectin-like	Pxt
FBgn0016031	CG10645	3L	lamina ancestor	lama
FBgn0033005	CG3107	2R	-	CG3107
FBgn0030457	CG12096	X	-	CG12096
FBgn0036213	CG7283	3L	Ribosomal protein L10Ab	RpL10Ab
FBgn0051755	CG31755	2L	Sister of Yb	SoYb
FBgn0010438	CG4337	3R	mitochondrial single stranded DNA-binding protein	mtSSB
FBgn0003943	CG11624	3L	Ubiquitin-63E	Ubi-p63E
FBgn0036899	CG8780	3L	teyrha-meyrha	tey
FBgn0033929	CG8151	2R	Transcription factor B1	Tfb1
FBgn0031401	CG7082	2L	papi	papi
FBgn0038303	CG6623	3R	Shal Interactor of Di-Leucine Motif	SIDL
FBgn0004839	CG8967	2R	off-track	otk
FBgn0003313	CG4922	2L	spalt-adjacent	sala
FBgn0038524	CG7623	3R	slalom	sll
FBgn0031183	CG14621	X	-	CG14621
FBgn0052732	CG32732	X	SET domain containing 3	Setd3
FBgn0031855	CG11221	2L	meng-po	meng
FBgn0003357	CG31362	3R	Jonah 99Ciii	Jon99Ciii
FBgn0010414	CG4545	2R	Serotonin transporter	SerT
FBgn0031909	CG5181	2L	-	CG5181
FBgn0262717	CG43161	3R	Skeletor	Skeletor
FBgn0003429	CG10693	3R	slowpoke	slo
FBgn0005672	CG10334	2L	spitz	spi
FBgn0037026	CG3634	3L	-	CG3634
FBgn0003257	CG3593	3R	rudimentary-like	r-l
FBgn0010097	CG17566	2L	gamma-Tubulin at 37C	gammaTub37C
FBgn0038387	CG5268	3R	black pearl	blp
FBgn0035083	CG2803	2R	Troponin C-akin-1	Tina-1
FBgn0285892	CG30007	2R	telomere ends associated	tea
FBgn0003114	CG9183	2R	plutonium	plu
FBgn0086368	CG12311	X	twisted	tw
FBgn0002715	CG5303	2R	meiotic from via Salaria 332	mei-S332
FBgn0037515	CG3066	3R	Serine protease 7	Sp7
FBgn0039296	CG10420	3R	Sil1 nucleotide exchange factor	Sil1
FBgn0036641	CG16725	3L	survival motor neuron	Smn
FBgn0032362	CG14928	2L	spatzle 4	spz4
FBgn0266492	CG45091	2L	Sarcolamban B	SclB
FBgn0085408	CG34379	2R	Shroom	Shrm
FBgn0004888	CG1065	3L	Succinyl-coenzyme A synthetase alpha subunit 1	Scsalpha1
FBgn0037917	CG5344	3R	whacked	wkd
FBgn0031077	CG15618	X	THADA	THADA
FBgn0037751	CG8484	3R	matotopetli	topi
FBgn0045866	CG11785	3R	baiser	bai
FBgn0039536	CG18437	3R	uncoordinated 80	unc80
FBgn0041621	CG31519	3R	Odorant receptor 82a	Or82a
FBgn0034793	CG13533	2R	asrij	asrij
FBgn0035317	CG13809	3L	Outer segment 2	Oseg2
FBgn0004394	CG12287	2L	POU domain protein 2	pdm2
FBgn0031443	CG17302	2L	Proteasome beta4 subunit-related 2	Prosbeta4R2
FBgn0020912	CG1447	3R	Ptx1	Ptx1
FBgn0016715	CG3200	3L	Rhythmically expressed gene 2	Reg-2
FBgn0004903	CG6354	3R	Ribonuclear protein at 97D	Rb97D
FBgn0011704	CG8975	2R	Ribonucleoside diphosphate reductase small subunit	RnrS
FBgn0028990	CG11331	2L	Serpin 27A	Spn27A
FBgn0003462	CG11793	3L	Superoxide dismutase 1	Sod1
FBgn0041186	CG11886	3R	Stem-loop binding protein	Slbp
FBgn0027094	CG13391	2L	Alanyl-tRNA synthetase	AlaRS
FBgn0011290	CG17358	3R	TBP-associated factor 12	Taf12
FBgn0028980	CG6586	3L	tantalus	tant
FBgn0004117	CG4843	3R	Tropomyosin 2	Tm2
FBgn0003721	CG4898	3R	Tropomyosin 1	Tm1
FBgn0003900	CG2956	2R	twist	twi
FBgn0037467	CG1104	3R	UFM1 specific ligase 1	Ufl1
FBgn0027494	CG12275	3R	Ribosomal protein S10a	RpS10a
FBgn0003339	CG1030	3R	Sex combs reduced	Scr
FBgn0285944	CG9907	X	paralytic	para
FBgn0039626	CG1420	3R	Slu7	Slu7
FBgn0028984	CG18525	3R	Serpin 88Ea	Spn88Ea
FBgn0003483	CG3158	3R	spindle E	spn-E
FBgn0037802	CG6284	3R	Sirtuin 6	Sirt6
FBgn0005612	CG3090	2R	Sox box protein 14	Sox14
FBgn0037482	CG10055	3R	-	CG10055
FBgn0003598	CG8599	3R	Suppressor of variegation 3-7	Su(var)3-7
FBgn0033062	CG7843	2R	Arsenic resistance protein 2	Ars2
FBgn0010278	CG4817	2R	Structure specific recognition protein	Ssrp
FBgn0003512	CG17958	3R	Serendipity delta	Sry-delta
FBgn0033859	CG6197	2R	fandango	fand
FBgn0013347	CG5163	3R	Transcription-factor-IIA-S	TfIIA-S
FBgn0250874	CG2713	X	tiny tim 50	ttm50
FBgn0016036	CG14827	3L	meiotic P22	mei-P22
FBgn0004404	CG1527	X	Ribosomal protein S14b	RpS14b
FBgn0002622	CG6779	3R	Ribosomal protein S3	RpS3
FBgn0025630	CG4061	X	RNA 3'-terminal phosphate cyclase	Rtca
FBgn0024188	CG12352	2R	separation anxiety	san
FBgn0032221	CG5375	2L	Schwannomin interacting protein 1	Schip1
FBgn0015295	CG18247	2R	SH2 ankyrin repeat kinase	Shark
FBgn0086348	CG6781	3L	sepia	se
FBgn0032475	CG16975	2L	Scm-related gene containing four mbt domains	Sfmbt
FBgn0029768	CG16752	X	Sex peptide receptor	SPR
FBgn0003448	CG3956	2L	snail	sna
FBgn0261789	CG1249	3R	Small ribonucleoprotein particle protein SmD2	SmD2
FBgn0023167	CG8427	2R	Small ribonucleoprotein particle protein SmD3	SmD3
FBgn0035121	CG7008	3L	Tudor staphylococcal nuclease	Tudor-SN
FBgn0003527	CG8592	2R	stand still	stil
FBgn0003545	CG12298	2R	subito	sub
FBgn0016917	CG4257	3R	Signal-transducer and activator of transcription protein at 92E	Stat92E
FBgn0004837	CG3497	2L	Suppressor of Hairless	Su(H)
FBgn0019925	CG6202	3R	Surfeit 4	Surf4
FBgn0053243	CG33243	X	Ste:CG33243	Ste:CG33243
FBgn0053247	CG33247	X	Ste:CG33247	Ste:CG33247
FBgn0004575	CG3985	3R	Synapsin	Syn
FBgn0036512	CG16979	3L	-	CG16979
FBgn0016697	CG10938	2R	Proteasome alpha5 subunit	Prosalpha5
FBgn0036697	CG7725	3L	rogdi	rogdi
FBgn0010411	CG8900	2R	Ribosomal protein S18	RpS18
FBgn0010412	CG4464	X	Ribosomal protein S19a	RpS19a
FBgn0032901	CG9339	2L	skywalker	sky
FBgn0014388	CG1921	3L	sprouty	sty
FBgn0266491	CG45090	2L	Sarcolamban A	SclA
FBgn0044817	CG32616	X	Stellate 12D orphon	Ste12DOR
FBgn0016756	CG5486	3L	Ubiquitin specific protease 47	Usp47
FBgn0004045	CG2985	X	Yolk protein 1	Yp1
FBgn0250791	CG6625	3L	alpha Soluble NSF attachment protein	alphaSnap
FBgn0032296	CG6729	2L	-	CG6729
FBgn0053169	CG33169	3L	-	CG33169
FBgn0259794	CG13030	3L	sina homologue	sinah
FBgn0039172	CG5677	3R	Spase 22/23-subunit	Spase22-23
FBgn0264087	CG43756	2L	Slowpoke binding protein	Slob
FBgn0015300	CG13591	2R	Suppressor of Stellate-like	Ssl
FBgn0024836	CG11895	2R	starry night	stan
FBgn0010391	CG2522	X	Signal recognition particle receptor alpha	SrpRalpha
FBgn0053236	CG33236	X	Ste:CG33236	Ste:CG33236
FBgn0053240	CG33240	X	Ste:CG33240	Ste:CG33240
FBgn0053244	CG33244	X	Ste:CG33244	Ste:CG33244
FBgn0053245	CG33245	X	Ste:CG33245	Ste:CG33245
FBgn0003507	CG3992	3R	serpent	srp
FBgn0027083	CG31322	3R	Methionyl-tRNA synthetase, mitochondrial	MetRS-m
FBgn0010425	CG18681	2R	epsilonTrypsin	epsilonTry
FBgn0003861	CG7875	3R	transient receptor potential	trp
FBgn0028375	CG5876	2L	heixuedian	heix
FBgn0250843	CG4904	2L	Proteasome alpha6 subunit	Prosalpha6
FBgn0037141	CG7143	3L	DNA polymerase eta	PolH
FBgn0050342	CG30342	2R	pre-mRNA processing factor 38	Prp38
FBgn0033413	CG8806	2R	preli-like	prel
FBgn0051935	CG31935	2L	-	CG31935
FBgn0036973	CG5585	3L	Retinoblastoma binding protein 5	Rbbp5
FBgn0020278	CG5248	3R	locomotion defects	loco
FBgn0034157	CG15920	2R	resilin	resilin
FBgn0026375	CG32555	X	Rho GTPase activating protein p190	RhoGAPp190
FBgn0035422	CG12740	3L	Ribosomal protein L28	RpL28
FBgn0031660	CG3782	2L	mitochondrial ribosomal protein L28	mRpL28
FBgn0026056	CG11622	3R	Ral interacting protein	Rlip
FBgn0053237	CG33237	X	Ste:CG33237	Ste:CG33237
FBgn0002174	CG5504	2R	-	CG5504
FBgn0039137	CG13604	3R	Ecdysteroid phosphate phosphatase	Epp
FBgn0036007	CG3424	3L	pathetic	path
FBgn0029789	CG3160	X	Post-GPI attachment to proteins 1	PGAP1
FBgn0003892	CG2411	2R	patched	ptc
FBgn0032634	CG6840	2L	RNA polymerase II subunit J	Polr2J
FBgn0003510	CG17957	3R	Serendipity alpha	Sry-alpha
FBgn0000617	CG6474	X	TBP-associated factor 9	Taf9
FBgn0032208	CG5604	2L	Ubiquitin fusion-degradation 4-like	Ufd4
FBgn0005391	CG2979	X	Yolk protein 2	Yp2
FBgn0016078	CG8804	2R	wunen	wun
FBgn0015270	CG3041	3R	Origin recognition complex subunit 2	Orc2
FBgn0024360	CG11418	X	mitochondrial poly(A) polymerase	MTPAP
