##Dmel_gene_ID,Dmel_gene_symbol,Human_gene_HGNC_ID,Human_gene_OMIM_ID,Human_gene_symbol,DIOPT_score,OMIM_Phenotype_IDs,OMIM_Phenotype_IDs[name]
FBgn0025634,CG13367,HGNC:29941,OMIM:614518,GATAD1,10,614672,"614672[CARDIOMYOPATHY, DILATED, 2B; CMD2B]"
FBgn0040383,CG5254,HGNC:14411,OMIM:607571,SLC25A21,15,618811,618811[MITOCHONDRIAL DNA DEPLETION SYNDROME 18; MTDPS18]
FBgn0015799,Rbf,HGNC:9893,OMIM:116957,RBL1,14,,
FBgn0015799,Rbf,HGNC:9894,OMIM:180203,RBL2,14,,
FBgn0015799,Rbf,HGNC:9884,OMIM:614041,RB1,4,"109,800,180,200,182,000,000,000","109800[BLADDER CANCER],180200[RETINOBLASTOMA; RB1],182280[SMALL CELL CANCER OF THE LUNG],259500[OSTEOGENIC SARCOMA]"
FBgn0015288,RpL22,HGNC:27610,,RPL22L1,9,,
FBgn0015288,RpL22,HGNC:10315,OMIM:180474,RPL22,12,,
FBgn0002579,RpL36,HGNC:13631,OMIM:617893,RPL36,10,,
FBgn0025633,spdi,HGNC:24764,,SMTNL2,3,,
FBgn0025633,spdi,HGNC:30615,OMIM:608793,SPECC1,9,,
FBgn0025633,spdi,HGNC:32394,OMIM:613664,SMTNL1,3,,
FBgn0025633,spdi,HGNC:11126,OMIM:602127,SMTN,4,,
FBgn0025633,spdi,HGNC:29022,OMIM:614140,SPECC1L,11,"145,410,145,420,600,000","145410[OPITZ GBBB SYNDROME, TYPE II; GBBB2],145420[TEEBI HYPERTELORISM SYNDROME; TBHS],600251[FACIAL CLEFTING, OBLIQUE, 1; OBLFC1]"
FBgn0040340,TRAM,HGNC:16855,OMIM:608485,TRAM2,10,,
FBgn0040340,TRAM,HGNC:28371,OMIM:617505,TRAM1L1,11,,
FBgn0040340,TRAM,HGNC:20568,OMIM:605190,TRAM1,13,,
FBgn0040347,mus81,HGNC:29814,OMIM:606591,MUS81,14,,
FBgn0040349,CG3699,HGNC:18349,OMIM:615194,DHRS2,3,,
FBgn0040349,CG3699,HGNC:16985,OMIM:611596,DHRS4,3,,
FBgn0040349,CG3699,HGNC:19731,OMIM:615196,DHRS4L2,3,,
FBgn0040349,CG3699,HGNC:23238,OMIM:612832,HSD17B14,5,,
FBgn0027794,Lrpprc2,HGNC:15714,OMIM:607544,LRPPRC,8,220111,"220111[MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 5; MC4DN5]"
FBgn0025641,DAAM,HGNC:18143,OMIM:606627,DAAM2,11,619263,"619263[NEPHROTIC SYNDROME, TYPE 24; NPHS24]"
FBgn0025641,DAAM,HGNC:18142,OMIM:606626,DAAM1,15,,
FBgn0025641,DAAM,HGNC:23791,OMIM:610982,INF2,3,"613,237,614,455","613237[FOCAL SEGMENTAL GLOMERULOSCLEROSIS 5; FSGS5],614455[CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE E; CMTDIE]"
FBgn0025641,DAAM,HGNC:2876,OMIM:602121,DIAPH1,3,"124,900,616,632","124900[DEAFNESS, AUTOSOMAL DOMINANT 1, WITH OR WITHOUT THROMBOCYTOPENIA; DFNA1],616632[SEIZURES, CORTICAL BLINDNESS, AND MICROCEPHALY SYNDROME; SCBMS]"
FBgn0025641,DAAM,HGNC:2877,OMIM:300108,DIAPH2,3,300511,300511[PREMATURE OVARIAN FAILURE 2A; POF2A]
FBgn0025641,DAAM,HGNC:15480,OMIM:614567,DIAPH3,3,609129,"609129[AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT, 1; AUNA1]"
FBgn0025641,DAAM,HGNC:18464,OMIM:610639,GRID2IP,3,,
FBgn0028550,Atf3,HGNC:3796,OMIM:164810,FOS,3,,
FBgn0028550,Atf3,HGNC:3798,OMIM:601575,FOSL2,3,,
FBgn0028550,Atf3,HGNC:13718,OMIM:136515,FOSL1,3,,
FBgn0028550,Atf3,HGNC:785,OMIM:603148,ATF3,5,,
FBgn0028550,Atf3,HGNC:3797,OMIM:164772,FOSB,3,,
FBgn0028550,Atf3,HGNC:958,OMIM:612476,BATF,3,,
FBgn0028550,Atf3,HGNC:28915,OMIM:612470,BATF3,3,,
FBgn0028550,Atf3,HGNC:25163,OMIM:614983,BATF2,3,,
FBgn0028550,Atf3,HGNC:17546,OMIM:608657,JDP2,4,,
FBgn0025381,rush,HGNC:20757,OMIM:615208,PLEKHF2,15,,
FBgn0025381,rush,HGNC:20764,OMIM:615200,PLEKHF1,7,,
FBgn0003517,sta,HGNC:6502,OMIM:150370,RPSA,13,271400,"271400[ASPLENIA, ISOLATED CONGENITAL; ICAS]"
FBgn0026873,MED18,HGNC:25944,OMIM:612384,MED18,13,,
FBgn0023513,CG14803,HGNC:21475,OMIM:615614,MMS22L,11,,
FBgn0023519,mRpL16,HGNC:14476,OMIM:611829,MRPL16,12,,
FBgn0023508,Ocrl,HGNC:6077,OMIM:147264,INPP5B,13,,
FBgn0023508,Ocrl,HGNC:8108,OMIM:300535,OCRL,12,"300,555,309,000","300555[DENT DISEASE 2; DENT2],309000[LOWE OCULOCEREBRORENAL SYNDROME; OCRL]"
FBgn0025628,CG4199,HGNC:26398,OMIM:617298,AIFM3,14,,
FBgn0000667,Actn,HGNC:166,OMIM:604638,ACTN4,11,603278,603278[FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1; FSGS1]
FBgn0000667,Actn,HGNC:164,OMIM:102573,ACTN2,13,"612,158,618,654,618,000","612158[CARDIOMYOPATHY, DILATED, 1AA, WITH OR WITHOUT LEFT VENTRICULAR NONCOMPACTION; CMD1AA],618654[MYOPATHY, CONGENITAL, WITH STRUCTURED CORES AND Z-LINE ABNORMALITIES; MYOCOZ],618655[MYOPATHY, DISTAL, 6, ADULT-ONSET, AUTOSOMAL DOMINANT; MPD6]"
FBgn0000667,Actn,HGNC:163,OMIM:102575,ACTN1,13,615193,"615193[BLEEDING DISORDER, PLATELET-TYPE, 15; BDPLT15]"
FBgn0000667,Actn,HGNC:165,OMIM:102574,ACTN3,10,617749,617749[ACTN3 DEFICIENCY]
FBgn0023511,Edem1,HGNC:15877,OMIM:610302,EDEM2,6,,
FBgn0023511,Edem1,HGNC:18967,OMIM:607673,EDEM1,3,,
FBgn0023511,Edem1,HGNC:0,,MMP24-AS1-EDEM2,5,,
FBgn0023518,trr,HGNC:7133,OMIM:602113,KMT2D,8,147920,147920[KABUKI SYNDROME 1; KABUK1]
FBgn0023518,trr,HGNC:13726,OMIM:606833,KMT2C,10,617768,617768[KLEEFSTRA SYNDROME 2; KLEFS2]
FBgn0023518,trr,HGNC:15840,OMIM:606834,KMT2B,4,617284,"617284[DYSTONIA 28, CHILDHOOD-ONSET; DYT28]"
FBgn0023517,Pgam5,HGNC:28763,OMIM:614939,PGAM5,14,,
FBgn0023515,Gcna,HGNC:15805,OMIM:300369,GCNA,9,,
FBgn0028969,deltaCOP,HGNC:649,OMIM:600820,ARCN1,14,617164,"617164[SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY; SRMMD]"
FBgn0023507,D2hgdh,HGNC:28358,OMIM:609186,D2HGDH,14,600721,600721[D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1]
FBgn0023507,D2hgdh,HGNC:19708,OMIM:607490,LDHD,3,245450,245450[D-LACTIC ACIDURIA WITH GOUT; DLACD]
FBgn0004654,Pgd,HGNC:8891,OMIM:172200,PGD,14,,
FBgn0023540,CG3630,HGNC:30655,OMIM:609747,ABRA,8,,
FBgn0023529,CG2918,HGNC:16931,OMIM:601746,HYOU1,15,233600,233600[IMMUNODEFICIENCY 59 AND HYPOGLYCEMIA; IMD59]
FBgn0004397,Vinc,HGNC:12665,OMIM:193065,VCL,13,"611,407,613,255","611407[CARDIOMYOPATHY, DILATED, 1W; CMD1W],613255[CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 15; CMH15]"
FBgn0023541,Cyp4d14,HGNC:23198,OMIM:608614,CYP4V2,6,210370,210370[BIETTI CRYSTALLINE CORNEORETINAL DYSTROPHY; BCD]
FBgn0023541,Cyp4d14,HGNC:13265,OMIM:611517,CYP4F11,4,,
FBgn0023541,Cyp4d14,HGNC:26820,OMIM:611495,CYP4F22,4,604777,"604777[ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 5; ARCI5]"
FBgn0023541,Cyp4d14,HGNC:2645,OMIM:604426,CYP4F2,4,,
FBgn0023541,Cyp4d14,HGNC:2646,OMIM:601270,CYP4F3,4,,
FBgn0023541,Cyp4d14,HGNC:20244,OMIM:614999,CYP4X1,4,,
FBgn0023541,Cyp4d14,HGNC:2642,OMIM:601310,CYP4A11,3,,
FBgn0023541,Cyp4d14,HGNC:18857,OMIM:611485,CYP4F12,4,,
FBgn0023541,Cyp4d14,HGNC:20575,OMIM:615341,CYP4A22,3,,
FBgn0023541,Cyp4d14,HGNC:2644,OMIM:124075,CYP4B1,4,,
FBgn0023541,Cyp4d14,HGNC:2648,OMIM:611545,CYP4F8,4,,
FBgn0023541,Cyp4d14,HGNC:20583,OMIM:618953,CYP4Z1,3,,
FBgn0023541,Cyp4d14,HGNC:2594,OMIM:107910,CYP19A1,4,"139,300,613,546","139300[AROMATASE EXCESS SYNDROME; AEXS],613546[AROMATASE DEFICIENCY]"
FBgn0011606,Klp3A,HGNC:13339,OMIM:300521,KIF4A,13,300923,"300923[MENTAL RETARDATION, X-LINKED 100; MRX100]"
FBgn0011606,Klp3A,HGNC:6322,OMIM:609184,KIF4B,11,,
FBgn0003371,sgg,HGNC:4617,OMIM:605004,GSK3B,12,,
FBgn0003371,sgg,HGNC:4616,OMIM:606784,GSK3A,11,,
FBgn0024973,CG2701,HGNC:24103,OMIM:614216,ASCC2,14,,
FBgn0024992,Spg7,HGNC:315,OMIM:604581,AFG3L2,4,"610,246,614,487,618,000","610246[SPINOCEREBELLAR ATAXIA 28; SCA28],614487[SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE; SPAX5],618977[OPTIC ATROPHY 12; OPA12]"
FBgn0024992,Spg7,HGNC:12843,OMIM:607472,YME1L1,3,617302,617302[OPTIC ATROPHY 11; OPA11]
FBgn0024992,Spg7,HGNC:11237,OMIM:602783,SPG7,13,607259,"607259[SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE; SPG7]"
FBgn0040396,CG3939,HGNC:28218,OMIM:616967,TXNDC17,9,,
FBgn0000479,dnc,HGNC:8781,OMIM:600127,PDE4B,12,,
FBgn0000479,dnc,HGNC:8795,OMIM:602973,PDE9A,3,,
FBgn0000479,dnc,HGNC:8783,OMIM:600129,PDE4D,10,614613,614613[ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS2]
FBgn0000479,dnc,HGNC:8780,OMIM:600126,PDE4A,8,,
FBgn0000479,dnc,HGNC:8782,OMIM:600128,PDE4C,9,,
FBgn0029648,CG3603,HGNC:3554,OMIM:601417,HSD17B8,15,,
FBgn0029648,CG3603,HGNC:25891,OMIM:619394,CBR4,5,,
FBgn0015286,Rala,HGNC:9839,OMIM:179550,RALA,13,619311,619311[HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS]
FBgn0015286,Rala,HGNC:9840,OMIM:179551,RALB,9,,
FBgn0029667,Gas8,HGNC:4166,OMIM:605178,GAS8,13,616726,"616726[CILIARY DYSKINESIA, PRIMARY, 33; CILD33]"
FBgn0028491,CG2930,HGNC:10920,OMIM:600544,SLC15A1,14,,
FBgn0028491,CG2930,HGNC:10921,OMIM:602339,SLC15A2,12,,
FBgn0028491,CG2930,HGNC:18068,OMIM:610408,SLC15A3,3,,
FBgn0028491,CG2930,HGNC:23090,OMIM:615806,SLC15A4,4,,
FBgn0028491,CG2930,HGNC:33455,,SLC15A5,3,,
FBgn0029687,Vap33,HGNC:12649,OMIM:605704,VAPB,13,"182,980,608,627","182980[SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE; SMAFK],608627[AMYOTROPHIC LATERAL SCLEROSIS 8; ALS8]"
FBgn0029687,Vap33,HGNC:12648,OMIM:605703,VAPA,12,,
FBgn0029706,CG3626,HGNC:30264,OMIM:617835,PDPR,12,,
FBgn0000635,Fas2,HGNC:7657,OMIM:602040,NCAM2,11,,
FBgn0000635,Fas2,HGNC:7656,OMIM:116930,NCAM1,11,,
FBgn0026080,Tip60,HGNC:17016,OMIM:609880,KAT7,3,,
FBgn0026080,Tip60,HGNC:5275,OMIM:601409,KAT5,13,619103,"619103[NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB]"
FBgn0026080,Tip60,HGNC:17933,OMIM:609912,KAT8,5,618974,618974[LI-GHORBANI-WEISZ-HUBSHMAN SYNDROME; LIGOWS]
FBgn0026079,Nsun2,HGNC:25994,OMIM:610916,NSUN2,14,611091,"611091[MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5; MRT5]"
FBgn0029709,CHOp24,HGNC:16996,,TMED2,13,,
FBgn0029712,CG15912,HGNC:28171,,HDHD3,15,,
FBgn0022768,Pp2C1,HGNC:9277,OMIM:605100,PPM1D,9,"114,480,617,450","114480[BREAST CANCER],617450[JANSEN-DE VRIES SYNDROME; JDVS]"
FBgn0011760,ctp,HGNC:24596,OMIM:608942,DYNLL2,13,,
FBgn0011760,ctp,HGNC:15476,OMIM:601562,DYNLL1,9,,
FBgn0028325,Pdha,HGNC:8807,OMIM:179061,PDHA2,15,,
FBgn0028325,Pdha,HGNC:8806,OMIM:300502,PDHA1,14,312170,312170[PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIENCY; PDHAD]
FBgn0029722,CG7024,HGNC:8807,OMIM:179061,PDHA2,10,,
FBgn0029722,CG7024,HGNC:8806,OMIM:300502,PDHA1,10,312170,312170[PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIENCY; PDHAD]
FBgn0029745,Rpn13R,HGNC:15759,OMIM:610650,ADRM1,8,,
FBgn0029752,TrxT,HGNC:12435,OMIM:187700,TXN,11,,
FBgn0029752,TrxT,HGNC:17772,OMIM:609063,TXN2,3,616811,616811[COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 29; COXPD29]
FBgn0029752,TrxT,HGNC:16470,OMIM:617790,TXNDC2,5,,
FBgn0029752,TrxT,HGNC:31454,OMIM:617789,TXNDC8,5,,
FBgn0029747,CG5062,HGNC:17229,OMIM:605152,CFAP45,4,,
FBgn0029763,Usp16-45,HGNC:20080,OMIM:618439,USP45,11,618513,618513[LEBER CONGENITAL AMAUROSIS 19; LCA19]
FBgn0029763,Usp16-45,HGNC:12614,OMIM:604735,USP16,9,,
FBgn0004687,Mlc-c,HGNC:29823,OMIM:609930,MYL6B,12,,
FBgn0004687,Mlc-c,HGNC:7587,OMIM:609931,MYL6,14,,
FBgn0004687,Mlc-c,HGNC:7584,OMIM:160790,MYL3,10,608751,"608751[CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 8; CMH8]"
FBgn0004687,Mlc-c,HGNC:7582,OMIM:160780,MYL1,12,618414,"618414[MYOPATHY, CONGENITAL, WITH FAST-TWITCH (TYPE II) FIBER ATROPHY; MYOFTA]"
FBgn0004687,Mlc-c,HGNC:7585,OMIM:160770,MYL4,10,617280,"617280[ATRIAL FIBRILLATION, FAMILIAL, 18; ATFB18]"
FBgn0029762,NAAT1,HGNC:11049,OMIM:126455,SLC6A3,3,"188,890,613,135","188890[TOBACCO ADDICTION, SUSCEPTIBILITY TO],613135[PARKINSONISM-DYSTONIA, INFANTILE, 1; PKDYS1]"
FBgn0029762,NAAT1,HGNC:11044,OMIM:607952,SLC6A11,3,,
FBgn0029762,NAAT1,HGNC:31399,OMIM:610299,SLC6A17,4,616269,"616269[MENTAL RETARDATION, AUTOSOMAL RECESSIVE 48; MRT48]"
FBgn0029762,NAAT1,HGNC:11045,OMIM:603080,SLC6A12,3,,
FBgn0029762,NAAT1,HGNC:11054,OMIM:606205,SLC6A7,4,,
FBgn0029762,NAAT1,HGNC:11048,OMIM:163970,SLC6A2,3,604715,604715[ORTHOSTATIC INTOLERANCE]
FBgn0029762,NAAT1,HGNC:13621,OMIM:607971,SLC6A15,4,,
FBgn0029762,NAAT1,HGNC:11050,OMIM:182138,SLC6A4,3,"164,230,607,834","164230[OBSESSIVE-COMPULSIVE DISORDER; OCD],607834[ANXIETY]"
FBgn0029762,NAAT1,HGNC:11055,OMIM:300036,SLC6A8,3,300352,300352[CEREBRAL CREATINE DEFICIENCY SYNDROME 1; CCDS1]
FBgn0029762,NAAT1,HGNC:11056,OMIM:601019,SLC6A9,4,617301,617301[GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE]
FBgn0029762,NAAT1,HGNC:11051,OMIM:604159,SLC6A5,4,614618,614618[HYPEREKPLEXIA 3; HKPX3]
FBgn0029762,NAAT1,HGNC:11047,OMIM:300444,SLC6A14,3,,
FBgn0029762,NAAT1,HGNC:11052,OMIM:186854,SLC6A6,3,145350,145350[HYPOTAURINEMIC RETINAL DEGENERATION AND CARDIOMYOPATHY; HTRDC]
FBgn0029762,NAAT1,HGNC:11046,OMIM:615097,SLC6A13,3,,
FBgn0029762,NAAT1,HGNC:11042,OMIM:137165,SLC6A1,3,616421,616421[MYOCLONIC-ATONIC EPILEPSY; MAE]
FBgn0029762,NAAT1,HGNC:13622,OMIM:607972,SLC6A16,4,,
FBgn0028474,CG4119,HGNC:23244,OMIM:612427,RBM25,13,,
FBgn0029785,RpL35,HGNC:10344,OMIM:618315,RPL35,14,618312,618312[DIAMOND-BLACKFAN ANEMIA 19; DBA19]
FBgn0029823,Shmt,HGNC:10852,OMIM:138450,SHMT2,8,619121,"619121[NEURODEVELOPMENTAL DISORDER WITH CARDIOMYOPATHY, SPASTICITY, AND BRAIN ABNORMALITIES; NEDCASB]"
FBgn0029823,Shmt,HGNC:10850,OMIM:182144,SHMT1,14,,
FBgn0029834,CG5937,HGNC:21213,OMIM:617411,ARFGEF3,14,,
FBgn0003514,sqh,HGNC:15754,OMIM:609905,MYL9,14,619365,619365[MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 4; MMIHS4]
FBgn0003514,sqh,HGNC:29827,OMIM:609211,MYL12B,7,,
FBgn0003514,sqh,HGNC:29825,OMIM:617177,MYL10,3,,
FBgn0003514,sqh,HGNC:16701,,MYL12A,12,,
FBgn0003514,sqh,HGNC:7586,OMIM:160782,MYL5,3,,
FBgn0003514,sqh,HGNC:7583,OMIM:160781,MYL2,3,608758,"608758[CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 10; CMH10]"
FBgn0003514,sqh,HGNC:21719,OMIM:613993,MYL7,3,,
FBgn0003514,sqh,HGNC:29824,OMIM:617378,MYLPF,3,619110,"619110[ARTHROGRYPOSIS, DISTAL, TYPE 1C; DA1C]"
FBgn0029838,CG4666,HGNC:29656,,THEM6,13,,
FBgn0029003,mab-21,HGNC:6758,OMIM:604357,MAB21L2,12,615877,615877[MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME; MCSKS]
FBgn0029003,mab-21,HGNC:6757,OMIM:601280,MAB21L1,13,618479,"618479[CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG]"
FBgn0028982,Spt6,HGNC:11470,OMIM:601333,SUPT6H,14,,
FBgn0014026,RpL7A,HGNC:10364,OMIM:185640,RPL7A,11,,
FBgn0029868,ND-B16.6,HGNC:17194,OMIM:609435,NDUFA13,11,"607,464,618,249","607464[THYROID CARCINOMA, HURTHLE CELL],618249[MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 28; MC1DN28]"
FBgn0028685,Rpt4,HGNC:9553,OMIM:602708,PSMC6,14,,
FBgn0026015,Top3beta,HGNC:11993,OMIM:603582,TOP3B,14,,
FBgn0040918,schlank,HGNC:23749,OMIM:615335,CERS5,13,,
FBgn0040918,schlank,HGNC:23826,OMIM:615336,CERS6,13,,
FBgn0040918,schlank,HGNC:23752,OMIM:615276,CERS3,6,615023,"615023[ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9; ARCI9]"
FBgn0040918,schlank,HGNC:14076,OMIM:606920,CERS2,9,,
FBgn0040918,schlank,HGNC:23747,OMIM:615334,CERS4,7,,
FBgn0023458,Rbcn-3A,HGNC:2937,OMIM:605671,DMXL1,11,,
FBgn0023458,Rbcn-3A,HGNC:2938,OMIM:612186,DMXL2,13,"616,113,617,605,618,000","616113[POLYENDOCRINE-POLYNEUROPATHY SYNDROME; PEPNS],617605[DEAFNESS, AUTOSOMAL DOMINANT 71; DFNA71],618663[DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 81; DEE81]"
FBgn0029881,pigs,HGNC:24846,OMIM:611398,GAS2L2,7,618449,"618449[CILIARY DYSKINESIA, PRIMARY, 41; CILD41]"
FBgn0029881,pigs,HGNC:16955,OMIM:602128,GAS2L1,11,,
FBgn0029881,pigs,HGNC:4167,OMIM:602835,GAS2,3,,
FBgn0029881,pigs,HGNC:27475,OMIM:617224,GAS2L3,3,,
FBgn0029502,Coq7,HGNC:2244,OMIM:601683,COQ7,12,616733,"616733[COENZYME Q10 DEFICIENCY, PRIMARY, 8; COQ10D8]"
FBgn0029897,RpL17,HGNC:44661,,RPL17-C18orf32,11,,
FBgn0029897,RpL17,HGNC:10307,OMIM:603661,RPL17,8,,
FBgn0029924,CG4586,HGNC:119,OMIM:609751,ACOX1,9,"264,470,618,960","264470[PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY],618960[MITCHELL SYNDROME; MITCH]"
FBgn0029924,CG4586,HGNC:120,OMIM:601641,ACOX2,6,617308,"617308[BILE ACID SYNTHESIS DEFECT, CONGENITAL, 6; CBAS6]"
FBgn0052732,Setd3,HGNC:20493,OMIM:615671,SETD3,13,,
FBgn0029942,CG2059,HGNC:16407,,ABHD11,14,,
FBgn0029944,Dok,HGNC:24583,OMIM:611435,DOK3,6,,
FBgn0029944,Dok,HGNC:2990,OMIM:602919,DOK1,8,,
FBgn0029944,Dok,HGNC:2991,OMIM:604997,DOK2,9,,
FBgn0029944,Dok,HGNC:19868,OMIM:608333,DOK4,3,,
FBgn0029944,Dok,HGNC:16173,OMIM:608334,DOK5,3,,
FBgn0029944,Dok,HGNC:28301,OMIM:611402,DOK6,3,,
FBgn0029944,Dok,HGNC:16970,OMIM:607744,FRS3,3,,
FBgn0029944,Dok,HGNC:16971,OMIM:607743,FRS2,3,,
FBgn0016041,Tom40,HGNC:25756,,TOMM40L,11,,
FBgn0016041,Tom40,HGNC:18001,OMIM:608061,TOMM40,15,,
FBgn0029958,Pdp,HGNC:9279,OMIM:605993,PDP1,15,608782,608782[PYRUVATE DEHYDROGENASE PHOSPHATASE DEFICIENCY; PDHPD]
FBgn0029958,Pdp,HGNC:30263,OMIM:615499,PDP2,14,,
FBgn0029975,spidey,HGNC:18646,OMIM:609574,HSD17B12,14,,
FBgn0029975,spidey,HGNC:16475,OMIM:619067,HSDL1,4,,
FBgn0029975,spidey,HGNC:5212,OMIM:605573,HSD17B3,5,264300,264300[17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY]
FBgn0004403,RpS14a,HGNC:10387,OMIM:130620,RPS14,7,153550,153550[CHROMOSOME 5q DELETION SYNDROME]
FBgn0004404,RpS14b,HGNC:10387,OMIM:130620,RPS14,13,153550,153550[CHROMOSOME 5q DELETION SYNDROME]
FBgn0004657,mys,HGNC:6163,OMIM:604160,ITGB8,3,,
FBgn0004657,mys,HGNC:6160,OMIM:147561,ITGB5,5,,
FBgn0004657,mys,HGNC:6161,OMIM:147558,ITGB6,6,616221,"616221[AMELOGENESIS IMPERFECTA, TYPE IH; AI1H]"
FBgn0004657,mys,HGNC:6155,OMIM:600065,ITGB2,10,116920,"116920[LEUKOCYTE ADHESION DEFICIENCY, TYPE I; LAD1]"
FBgn0004657,mys,HGNC:6153,OMIM:135630,ITGB1,14,,
FBgn0004657,mys,HGNC:6158,OMIM:147557,ITGB4,5,"131,800,226,650,226,000","131800[EPIDERMOLYSIS BULLOSA SIMPLEX, LOCALIZED],226650[EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-HERLITZ TYPE],226730[EPIDERMOLYSIS BULLOSA JUNCTIONALIS WITH PYLORIC ATRESIA]"
FBgn0004657,mys,HGNC:6162,OMIM:147559,ITGB7,10,,
FBgn0004657,mys,HGNC:6156,OMIM:173470,ITGB3,8,"608,446,619,267,619,000","608446[MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO],619267[GLANZMANN THROMBASTHENIA 2; GT2],619271[BLEEDING DISORDER, PLATELET-TYPE, 24; BDPLT24]"
FBgn0029993,CG1571,HGNC:18744,OMIM:605483,DNAI2,6,612444,"612444[CILIARY DYSKINESIA, PRIMARY, 9; CILD9]"
FBgn0029994,Ldsdh1,HGNC:18685,OMIM:612127,HSD17B13,4,,
